,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
82,83,2024-06-23 11:10:35,2024-06-23 11:20:04,2.0,0.9,1.0,186,Manhattan,Penn Station/Madison Sq West,230,Manhattan,Times Sq/Theatre District,2,10.0,2.5,0.5,0.0,0.0,14.0,2.5
83,84,2024-06-23 10:19:42,2024-06-23 11:04:10,1.0,0.0,99.0,116,Manhattan,Hamilton Heights,76,Brooklyn,East New York,1,50.5,0.0,0.5,0.0,6.94,58.94,0.0
84,85,2024-06-22 17:41:51,2024-06-22 17:56:12,1.0,2.9,1.0,161,Manhattan,Midtown Center,262,Manhattan,Yorkville East,1,16.3,2.5,0.5,3.05,0.0,23.35,2.5
85,86,2024-06-22 01:48:49,2024-06-22 01:58:14,1.0,1.28,1.0,113,Manhattan,Greenwich Village North,148,Manhattan,Lower East Side,1,10.7,1.0,0.5,3.14,0.0,18.84,2.5
86,87,2024-06-21 22:30:24,2024-06-21 22:44:10,2.0,2.57,1.0,264,Unknown,,264,Unknown,,1,15.6,1.0,0.5,4.12,0.0,24.72,2.5
87,88,2024-06-21 21:39:14,2024-06-21 21:45:52,2.0,1.1,1.0,231,Manhattan,TriBeCa/Civic Center,114,Manhattan,Greenwich Village South,1,8.6,3.5,0.5,1.0,0.0,14.6,2.5
88,89,2024-06-21 18:57:29,2024-06-21 19:03:43,1.0,1.7,1.0,239,Manhattan,Upper West Side South,151,Manhattan,Manhattan Valley,2,9.3,5.0,0.5,0.0,0.0,15.8,2.5
89,90,2024-06-20 15:51:40,2024-06-20 15:58:44,1.0,0.77,1.0,161,Manhattan,Midtown Center,229,Manhattan,Sutton Place/Turtle Bay North,1,7.9,0.0,0.5,2.38,0.0,14.28,2.5
90,91,2024-06-20 15:23:32,2024-06-20 15:44:50,2.0,3.73,1.0,231,Manhattan,TriBeCa/Civic Center,107,Manhattan,Gramercy,1,22.6,0.0,0.5,5.0,0.0,31.6,2.5
91,92,2024-06-20 13:48:04,2024-06-20 13:57:22,1.0,0.89,1.0,237,Manhattan,Upper East Side South,161,Manhattan,Midtown Center,1,10.0,0.0,0.5,2.0,0.0,16.0,2.5
